10 Oct. 2021 22:56:37 9474  INFO (utils.Log.logInfo(Log.java:19)) - Starting web driver
10 Oct. 2021 22:56:39 11787  INFO (utils.Log.logInfo(Log.java:19)) - Excel was to set to file at path - ./src/test/resources//datasheets/TestData.xlsx with sheet - Login
10 Oct. 2021 22:56:39 11861  INFO (utils.Log.logInfo(Log.java:19)) - Excel was to set to file at path - ./src/test/resources//datasheets/TestData.xlsx with sheet - Login
10 Oct. 2021 22:56:39 11862  INFO (utils.Log.logInfo(Log.java:19)) - Table array was successfully fetched from excel sheet - Login at path - ./src/test/resources//datasheets/TestData.xlsx
10 Oct. 2021 22:56:39 12052  INFO (utils.Log.startTestCase(Log.java:13)) - *******************************	TC001_sampleTest	*******************************
10 Oct. 2021 22:56:41 13612  INFO (utils.Log.logInfo(Log.java:19)) - Launching URL 'http://demo.guru99.com/v4/'
10 Oct. 2021 22:56:41 13628  INFO (utils.Log.logInfo(Log.java:19)) - Actual title 'Guru99 Bank Home Page' matches with expected title 'Guru99 Bank Home Page'
10 Oct. 2021 22:56:41 13909  INFO (utils.Log.logInfo(Log.java:19)) - String - mngr358536 was sent to element identified By.name: uid
10 Oct. 2021 22:56:41 14180  INFO (utils.Log.logInfo(Log.java:19)) - String - yharAnA was sent to element identified By.name: password
10 Oct. 2021 22:56:42 14820  INFO (utils.Log.logInfo(Log.java:19)) - Element identified By.name: btnLogin was clicked
10 Oct. 2021 22:56:42 14833  INFO (utils.Log.logInfo(Log.java:19)) - Actual title 'Guru99 Bank Manager HomePage' matches with expected title 'Guru99 Bank Manager HomePage'
10 Oct. 2021 22:56:42 14844  INFO (utils.Log.logInfo(Log.java:19)) - Test case passed
10 Oct. 2021 22:56:42 14846  INFO (utils.Log.endTestCase(Log.java:16)) - ***************************************************************************************
#
10 Oct. 2021 22:56:43 15785  INFO (utils.Log.logInfo(Log.java:19)) - Quitting webdriver
10 Oct. 2021 22:56:43 15819  INFO (utils.Log.logInfo(Log.java:19)) - Executed command - [cmd.exe, /c, allure, serve, C:\Users\aadit\git\SeleniumDemo\Demo./framework-output/allure-results/]
10 Oct. 2021 22:56:43 15819  INFO (utils.Log.logInfo(Log.java:19)) - Start output from terminal
10 Oct. 2021 22:56:44 16729  INFO (utils.Log.logInfo(Log.java:19)) - Generating report to temp directory...
10 Oct. 2021 22:56:47 19902  INFO (utils.Log.logInfo(Log.java:19)) - Report successfully generated to C:\Users\aadit\AppData\Local\Temp\6921269072734394092\allure-report
10 Oct. 2021 22:56:47 19903  INFO (utils.Log.logInfo(Log.java:19)) - Starting web server...
10 Oct. 2021 22:56:48 20442  INFO (utils.Log.logInfo(Log.java:19)) - Server started at <http://192.168.0.38:58926/>. Press <Ctrl+C> to exit
